Test Cases,Bandwidth S1 to S2,delay S1 to S2 ,loss S1 to S2,Bandwidth S1 to S2,delay S1 to S3 ,loss S1 to S3,Banwidth S1 to S3,jitter S1 to S3,latency S1 to S3,Banwidth S2 to S1,jitter S2 to S1,latency S2 to S1,Banwidth S2 to S3,jitter S2 to S3,latency S2 to S3,Pesq NB
Test 1,65,0.1,2,55,0.2,1,51.2,43.656,16,60,5.64,5.4,54.2,124.052,14,3.606666667
Test 2,35,0.3,3,70,0.4,2,30.5,265.846,22,34.2,163.154,0,61.3,7.303,3.6,4.437083333
Test 3,35,0,0,60,0,0,30.5,266.406,22,34.3,221.926,0,56.4,23.852,11,3.927083333
Test 4,25,0.2,1,25,0.3,3,23.9,331.539,22,24.5,351.436,16,24.5,362.052,14,1.645833333
Test 5,30,0.23,2,60,0.15,2.5,26.4,210.771,21,29.4,225.986,22,58.9,31.255,5.4,2.637916667
Test 6,45,0.1,2,60,0.2,1,43.4,88.873,13,44.3,147.269,12,59,31.976,3.6,3.862083333
Test 7,40,0.3,3,35,0.4,2,34.3,130.284,16,38.5,112.255,11,34.3,152.169,3.6,3.189166667
Test 8,30,0,0,70,0,0,29.5,202.952,14,29.4,255.36,22,63.9,4.044,0,2.977083333
Test 9,25,0.2,1,50,0.3,3,22.2,388.919,22,24.4,367.038,12,49.2,57.274,7.1,2.905833333
Test 10,65,0.23,2,55,0.15,2.5,49.1,84.024,23,54.7,22.515,11,53.4,52.249,13,3.339583333
Test 11,70,0.1,2,70,0.2,1,60.5,11.26,5.4,59.5,78.241,7.1,61.7,13.982,3.6,4.561666667
Test 12,60,0.3,3,55,0.4,2,54,59.743,3.6,58.3,18.663,3.6,54,37.05,0,4.82875
Test 13,65,0,0,60,0,0,56,4.326,12,59.4,8.028,7.1,58.6,45.953,5.5,4.243333333
Test 14,50,0.2,1,45,0.3,3,42.1,127.698,14,49.2,67.062,3.6,44.1,82.776,11,3.49125
Test 15,25,0.23,2,35,0.15,2.5,23.9,373.136,16,24.6,332.251,8.9,34.3,153.228,3.6,3.185416667
Test 16,25,0.1,2,60,0.2,1,4.83,0,0,24.6,349.316,20,58.8,21.916,0,2.945833333
Test 17,40,0.3,3,70,0.4,2,36,180.858,15,39.2,117.478,1.8,62.8,5.879,1.8,4.426666667
Test 18,35,0,0,25,0,0,24.5,263.023,15,34.3,152.85,7.1,24.5,357.133,18,2.343333333
Test 19,30,0.2,1,70,0.3,3,28.8,202.071,13,29.6,182.996,21,62.9,73.306,1.8,3.07375
Test 20,65,0.23,2,35,0.15,2.5,33,158.939,31,56,2.153,12,34.4,211.64,14,2.775
Test 21,65,0.1,2,50,0.2,1,45.8,55.823,27,60.3,21.571,1.8,49.2,68.752,14,4.040416667
Test 22,50,0.3,3,55,0.4,2,38.7,70.734,25,49,58.486,0,53.9,42.879,12,4.072916667
Test 23,25,0,0,70,0,0,23.9,347.401,24,24.5,277.011,8.9,64,0.405,0,3.937916667
Test 24,70,0.2,1,45,0.3,3,43.4,112.645,32,49.1,16.153,20,44.3,81.428,12,2.5
Test 25,35,0.23,2,70,0.15,2.5,29.3,145.222,29,34.4,134.121,11,57,0.259,12,2.954166667
Test 26,50,0.1,2,35,0.2,1,34.3,248.175,9.8,49.1,57.978,0,34.3,223.029,0,4.425
Test 27,25,0.3,3,55,0.4,2,21.2,407.884,24,24.5,288.382,3.6,54.1,43.651,5.4,3.641666667
Test 28,40,0,0,35,0,0,34.2,158.666,8.9,39.1,117.694,1.8,34.3,153.91,5.4,3.549166667
Test 29,45,0.2,1,30,0.3,3,29.2,214.318,1.8,44.1,85.135,0,29.3,214.279,1.8,4.034166667
Test 30,55,0.23,2,55,0.15,2.5,51.2,39.16,11,53.9,102.709,7.1,54,35.522,3.6,4.242916667
Test 31,30,0.1,2,35,0.2,1,29.4,287.668,12,29.5,196.135,7.1,34.3,160.647,0,3.501666667
Test 32,55,0.3,3,70,0.4,2,54,37.106,1.8,53.5,98.654,0,64,0.203,0,3.8515625
Test 33,50,0,0,30,0,0,29.4,204.913,8.9,49.1,58.138,0,29.4,284.484,12,3.335416667
Test 34,65,0.2,1,50,0.3,3,49.1,58.613,1.8,61.7,0.38,3.6,49.1,58.465,0,4.714166667
Test 35,40,0.23,2,45,0.15,2.5,38.5,182.409,1.8,39.2,173.358,5.4,44.2,84.778,0,3.981666667
Test 36,67,0.1,2,68,0.2,1,60.3,8.656,14,54.8,7.343,14,53.7,5.896,16,2.864583333
Test 37,65,0.3,3,70,0.4,2,50.3,16.464,21,52.4,45.078,15,54.9,5.16,14,3.114583333
Test 38,69,0,0,67,0,0,53.7,68.983,16,58.5,69.809,8.9,59.4,8.341,7.1,4.139583333
Test 39,68,0.2,1,65,0.3,3,53.5,16.977,16,51.5,9.499,20,57.2,9.3583,11,2.822916667
Test 40,67,0.23,2,70,0.15,2.5,56,6.601,12,59.4,6.536,7.1,64,12.454,0,4.8475
Test 41,65,0.1,2,70,0.2,1,51.2,42.984,15,54.8,26.429,14,57.1,5.15,12,3.389583333
Test 42,68,0.3,3,65,0.4,2,54.5,9.051,18,61.8,3.982,2,56.9,23.675,7.3,4.477916667
Test 43,66,0,0,67,0,0,54.6,14.963,18,55.8,87.93,9.1,57.1,5.139,11,3.574583333
Test 44,69,0.2,1,70,0.3,3,48.1,5.123,25,60.2,19.961,1.8,76.1,29.185,3.6,3.9303125
Test 45,65,0.23,2,65,0.15,2.5,50.3,68.826,21,52.5,54.804,15,57.1,3,11,3.3
Test 46,65,82,2,70,97,7,57,5.606,12,63.7,16.393,0,62.3,22.128,0,4.078125
Test 47,55,110,1,25,193,13,24.6,342.846,24,54,36.26,0,24.5,331.929,27,2.439583333
Test 48,30,136,11,35,92,4,28.9,204.077,16,29.4,207.922,11,34.3,156.552,3.6,3.04125
Test 49,70,146,8,55,180,10,51.2,41.277,18,59.4,5.583,7.1,53.7,61.721,12,3.687083333
Test 50,70,37,12,65,99,11,50.8,177.773,23,53.7,3.007,16,57.3,6.264,11,3.179166667
Test 51,55,193,13,50,22,5,48.8,67.677,12,53.5,6.846,18,49.1,124.895,3.6,3.4475
Test 52,25,60,8,30,66,2,24.5,357.379,18,24.4,345.404,21,29.4,217.073,0,2.533333333
Test 53,70,179,10,55,17,2,53.6,37.804,7.1,41.2,112.207,18,54,39.368,0,3.5125
Test 54,70,16,3,60,154,1,58.9,25.955,1.8,62.9,7.985,1.8,58.5,40.073,0,3.835625
Test 55,60,32,6,35,79,7,34.3,172.244,25,57.9,18.846,3.6,34.3,216.496,5.4,4.091666667
Test 56,65,198,6,60,22,7,58.9,89.761,3.6,56.9,27.376,7.3,58.8,96.29,5.4,4.147083333
Test 57,30,183,7,30,25,14,23.7,257.682,41,29.4,212.74,3.6,29.5,190.105,16,2.62875
Test 58,35,178,6,60,162,4,32.5,160.923,5.4,34.3,195.475,1.8,58.9,23.997,1.8,4.368333333
Test 59,30,39,6,40,77,10,26.3,235.668,16,29.4,210.12,9.1,39.4,102.686,14,2.518333333
Test 60,40,132,12,25,65,14,24,255.344,25,39.4,102.659,16,24.6,234.981,23,1.525
